Sentence,Label
 oh yes some are quite nice! and my `photoshop` liep zojuist vast. so now I have to start over painting RÃÂ¯ÃÂ¿ÃÂ½isÃÂ¯ÃÂ¿ÃÂ½ngs glove,Positive
"honestly last night was amazing, everything was perfect",Positive
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",Neutral
"Boys are stupid, throw rocks at them",Negative
Found controls for left hand people like me on twitterrific. Excellent,Positive
is really really ready!,Neutral
Getting ready to go to #Brighton to find myself a new suit from #GreshamBlake - Sunday = me time,Neutral
 Marche! I want rosti and crepes.,Neutral
 tehe. It was on the 9th,Neutral
"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!",Negative
"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",Negative
 why you stop following me? Was I not cool enough for you?,Negative
****. I got a math test today.,Negative
Wrestlefest was fun! Now tune into www.latalkradio.com from 2-3 sunday and chat with me,Positive
_a The rocky kind! With little rockpools & octopi & shells & stuff. Now I want to be at the beach. Its the perfect overcast day.,Positive
"3OH!3 - Rich man is amazing, really can`t be bothered for school on Monday",Positive
 i`m playing good because i`m a big baby,Positive
Listening to have heart. Aka i took over carlys last.fm      its 4am need to be up in 4 hours.  Looooong day tomorrow,Negative
"Pizza parties went well, but still invisible  I might as well be out with a bag over my head. Whatever!",Neutral
My sunglasses broke,Neutral
Happy May Bank Holiday British Peeps,Positive
i going to go to bed & i failed miserably at booking a holiday  although i do seem to have a new follower. HIGH FIVE. X,Negative
is trying to make this sunday last 48hours,Neutral
Ben I Love yahh babe <333! i miss you hope to see u tomorrow  Mommy i love  you tomorrow happy mothers day! happy mother day to all moms!,Positive
 **** it. You don`t look well. You have to go home.,Negative
 Thxx!! I was in the bathroom when you said it..,Positive
EOM......still at work,Neutral
"talkshow with Larry, then Cage?",Neutral
I`m going to miss my iMac so much over the next month.,Negative
 I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.,Neutral
 that is why I drive a (teeny tiny) honda civic  http://myloc.me/FRy,Neutral
AC getting installed today,Neutral
 Don`t think you would be happy if you were...,Positive
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,Neutral
Someone stole my new laptop at the airport. haven`t even used it. Guess the US economy is breeding a new set of 'opportinists',Negative
in class sick and hungry,Negative
" geez, 15 years? You`d think they would have had that checked out years ago!",Negative
Is responding to an email.,Neutral
"Popping out to see SAMSON AND DELILAH this arvo, hear it is good",Positive
"after some pizzas, going sleep",Neutral
"just took my best friend of 13 years, How well you know Katie Outzen quiz and failed, how does that happen? its just so sad!",Negative
"good morning tweetie world.  have a great day, everyone.",Positive
I totally needed that sleep.  need to stretch and wash though now.,Neutral
even if it is spf 55. Besides you don`t need ****. You are just putting more chemicals on you face. Spf 30 is a full block.,Neutral
excited how the jon does will do today  Good luck guys ;),Positive
" The latest season doesnt air on any of the Indian tv channels. So, I kinda download the episodes / view them online",Neutral
" I`m  yaoo, not  sonnnny",Neutral
 that was awesome!!,Positive
Im sad right now becuz of my lady,Negative
 i havent got poked much,Negative
 Thanks! I appreciate it  I know my unsubscribe list will grow tomorrow LOL,Positive
I`m really nervous about giving a speech at a wedding tomorrow,Negative
 love it! Really its simple i think of a word and put twi on the front i should be more clever,Positive
"I hate traffic. Dallas is nothing, but traffic!",Negative
" hi hun!!  i really loved your tutorial yday!  soooo much, it was one of the best tutorials i had watched in a long time!  ****",Positive
 Pretty sure you are hero status... You rock my socks Ms McCain.,Positive
"Well, I just need to get some motivation, and also, to do my homework, and essay... And.... it`s such a lovely day! How?",Positive
"well,only one week left of my holidays,sad sad",Negative
Wow... I was tricked into the #hoppusday hype today....,Positive
 No wonder we`re married.   Night love. <3,Positive
" Wishing you a very Happy Mother`s Day, Carina!!  Hugs...Joy",Positive
_Kill_Boy I know the feeling,Negative
"_herdman middle-click is addictive, what can i say",Neutral
Download movie  'Jackass 3' http://tinyurl.com/caotku cool #movie,Positive
...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,Negative
 yay! we will have to get together soon and do something,Positive
is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend,Positive
 I`m okay. Ima go to the park and play some ball. Not in the best of moods. Got stress to relieve.,Neutral
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",Negative
" Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people.",Neutral
wow we r watching the outsiders  smelly english.,Negative
Remind me to get out & take a pic of my blooming clematis before the wind storm tomorrow.,Neutral
Wants to meet Jeff Hardy and Beth Britt So bad its Soo Annoying  x x,Negative
 :o exams. YUCK    that will be hectic!,Negative
I hate how MS makes me feel. I can`t control my legs 2nite & am in too much pain - it`s driving me crazy  Anyone else get those moments?!!,Negative
" could do, will the fact that its bank holiday make any difference? lemme check my money situation also",Neutral
 go with firefox,Neutral
 I agree. I danced with my dad to 'Kind & Generous' at my wedding. HUGE fan.,Positive
" Yeah, It`s not available on Public market yet. but will be soon. looking forward. I`m sunburnt  arms are itching. boo hoo!!!!!!",Negative
the beginning of Cater 2 U always gets to me,Neutral
 iknowww! Not many people know about it tho. So I like to keep it my little secret,Positive
" Yes, that does sound like a distinct advantage. Fortunately, I enjoy being female.",Positive
_Josa how exciting!!! looking forward to pics on facebook  ****,Positive
Happy Mother`s Day Mommies,Positive
" KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",Negative
 too bad i dont have either,Negative
"http://twitpic.com/675tw - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",Negative
 Thanks! We`re almost there,Positive
proper cba with out!,Neutral
 kayla & I went to go visit you but they wouldn`t let us in school!,Neutral
Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,Negative
"twitter wont change anything  TWITTER, WHAT THE HECK IS WRONG WITH YOU???!!",Negative
" I googled him & looked @ a lot of sites... I should have checked here first.  How Exciting, for you both",Positive
long weekend is over... looking forward to end of May then,Positive
Getting ready for college. I had a good sleep.  rainy day today. I love it.,Positive
HAPPY MOTHER`S DAY TO MY BEAUTIFUL MOMMIES,Positive
 So sorry to hear about your mum.,Negative
Sunday my last day at apple but I won`t be in. Come kick it with me at El FAROLITO 4817 mission street @ 730pm,Positive
Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!,Neutral
"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O",Positive
A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux,Negative
 yes,Neutral
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,Neutral
" hey dougie, just thought i would tell you that your gig in edinburgh got a brilliant review in the scottish sunday mail  ****",Positive
 thanks for trying,Positive
just because you`re a superstar it doesn`t mean you have to do that !,Neutral
"http://twitpic.com/66uor - went on a really long cycle ride with my mum, brothers and my BFF Han today. My bum aches now!!",Negative
At the airport waiting,Neutral
how r u feeling? and when r u guys coming back to canad?... come to vancouver!,Neutral
I`m so lost without my laptop. And no break again for me today. Made even worse that the 2 big bosses of skipton showed up today,Negative
Hates moving,Negative
bored. tired got headache,Negative
I wish GM stock would turn around at 80 cents a share I would be willing to buy some...if I knew it would do something,Positive
 http://twitpic.com/67uc7 - can you lend me one? I have a cold too,Negative
 HIII!!!!  i`ve missed you  just bored....what about u?,Negative
 haha me tooooo! I miss you I havnt seen you in ages,Negative
"Once again, I`m dealing with cancer in my direct family. Bugger  Cancel sucks!",Negative
It worked. Cool AND the gang!,Positive
listening to ryan adams and being sick,Negative
lol i cant drink!!,Positive
 I`m thinking you deserve an award. A big shiny one.,Positive
I`m so freaking afraid that once again I`ve managed to stick my foot in my mouth and scare yet another person off . . .,Negative
Happy Mother`s Day to every single mom out there. I love my mommy,Positive
  on your ani?  sorry,Negative
" Nicky, I LAND at 10pm, it will be like 10:40 before I get home! UGH! Wont be any fish fry left for me anyways",Negative
 will be following you tomorrow!!  sleep well,Positive
"Friends are gone. Sushi, movies, laughter. Just what I needed. FUN!",Positive
" I loves me some Jeff Lynne, and I do enjoy sitar work, but that was kinda weird. To each his own, I s`pose!",Positive
Powerdvd doesn`t want to play my Pushing Daisies dvd. I only want screenies to make icons with! Copy protection gone bonkers?,Neutral
Another interview... Please somebody hire me?! But I`m late,Negative
 did your car get towed? Thats what happened to redgie`s car last time he went there  another reason why i don`t like splashtown,Neutral
I`m going to open up PROVERBS and get as much wisdom as possible-I`m hungry!,Neutral
"My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year",Negative
" yes i love manchester orchestra,and sigur ross. all the other bands ive never heard of but ill give them a listen. thanks",Positive
Just got back from the doctor... I don`t need surgery yayyy!!!!!! But my knees are still ****  not gonna get better,Neutral
"I can`t open my eyes properly, maybe if i sleep for a lil` while longer it`ll fix itself",Negative
O dnt even like wearing  my skinny jean no more cuz of yall **** **** ni99as...,Negative
sore head..hope my girls ok,Neutral
 they just said she was very elusive; should be tricky,Negative
 _Yogini _My_Soles  i am sooo jealous  in a good way of course.  LC is awesome.,Positive
 wow. hehehe. mushy-mushy mode.,Positive
 shud up! lol my device thing doesn`t work,Negative
ugh blisters on both my big toes and on both my legs and my shoulders are raw as ****. my life sucks right now,Negative
 this is sounding like the worst lurgy ever - the one that just won`t go away ..  ...are you ready for end-of-rope action yet??,Negative
I really want to go see UP!  haha. Tooo cute! (:,Positive
"such lovely weather, i wanna go out!",Positive
awake from the nap,Neutral
i`m still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites.,Negative
sometimes i wish things could go back to the way they were the beginning of last summer,Neutral
Good days with good friends make me not regret living,Positive
''have you the e-mail from Miley ???? I want to write with her but I cant,Negative
 http://twitpic.com/4fzo7 - you both have so beatiful eyes  i wanna have them,Positive
  awww thank you,Positive
"_twnzfinest Happy birthday, sweetie. Have a great day in the best place of the word (sorry Chicago  jeje",Positive
I`am back to Tweetie 1.1.1.,Neutral
Wrapped up some html/java work now spending the night dabbling in some flash intros,Neutral
but I keep updating.,Neutral
 Woo! Twitter kind of sucked without you.,Negative
anticipating a tough day ahead,Negative
"Oh hey, look, North Korea are going to kill us all; or at least some of us.",Negative
"Have ordered the cuuutest invitations for my new nieceÃÂ¯ÃÂ¿ÃÂ½s Christening, and they just arrived back in SA.  Sorry that I wont make it myself",Neutral
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,Negative
*moment of silence* for the Budget i`m bout to b on  I spend wayyy to much $$$.... OMG! I`m on a Budget?!?!,Negative
I have to start eating healthy,Positive
_g my day just hasnt been the same without ur running conversation all day,Neutral
 im listening to people saying eww at out current frog disection  poor froggy.,Negative
"BARA, ****, CLOSETS, ADVENTURE. AGGGHHHH ENOUGH! Muak mcm baby Gary ku sudah",Neutral
Nothings better than having to take a cold shower in the morning,Positive
"This is my new College project, i just wanted to share it  Hey Mr Bartender - College Project http://bit.ly/Ba3Nf",Neutral
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,Negative
 now if I still lived that way you could pop in and see me  but I don`t so you can`t,Neutral
"Hey dude who turned down a flyer, you`re a poser and not nice",Negative
 whats with u hating on becky soo much? ur bio says ur nice....guess not,Neutral
 why you not go on the twitters no more?   oh bais!,Neutral
 Link didn`t work,Negative
 I think that`s cutting off the URL so the pic doesn`t turn up.   #mishaneedschapstick,Neutral
 I really want to!! But it`s one of my few free weekends that month and am booking clients  Mama needs to make money.,Neutral
Congratulations Mr. Jay-el and Mrs. Maricar Chu! Wish you all the best in the world!,Positive
"Yep, lost my bet to chris",Negative
@_supernatural_ more Demon Sam!! I need it to numb the pain  ****,Neutral
"????? ,my latest obession.",Positive
 true but if I don`t put a case on it I`ll break it in a week.  don`t worry ill find a way to make it work.,Neutral
 Your youtube account is down.,Negative
" i don`t know why but, i can only find miss matched socks during winter. i mean, where do they all go?",Neutral
just got a wii,Neutral
what am l doing?? .....nothing much atm,Neutral
is going to go get some food.,Neutral
 You be a good girl Whitney,Positive
 your lisa rogers carpool is now my alltime fave!! Good work!!,Positive
 That`s more than ok. Personally I`m very good in doing nothing,Positive
saying goodbye to  for a year  she`s been awesome in helping me fit into the team at Veritas!,Positive
"never thought i`d say this, but i miss my 9-5 job, the commute, my cubicle, free food & coffee and being downtown. why did i quit?",Negative
loggade visst min 400e cache i lÃÂ¯ÃÂ¿ÃÂ½rdags!,Neutral
 yes dear....  ... I`m opff bbl8r,Neutral
" its a hott tuuneee,",Neutral
Just one of those days.... I pray it will get better..,Positive
A lovely couple of days with friends from Wolverhampton. At least the weather improved for their last day today. On call tomorrow,Positive
my roommate _tickle loves to ignore me,Neutral
 but he looks so much better with short hair,Positive
i have nothing to do except right a eassy due on monday D: :[ :{  ]: }:,Negative
 (duh typo error) part 2: social networking??.. there isn`t even room for people,Negative
_MJA ..I don`t know who gon do the yelling & cussing for upgrades when u go.,Neutral
 I miss you!  Come to Michigan like now....I can`t wait till July,Negative
 http://twitpic.com/4i3g6 - i love that game  xxxx,Positive
goooooood morning!,Positive
"Had a great day: beach, BBQ with old friends (it`s crazy that I`m old enough to have `old` friends!), & learned how to play texas holdem",Positive
 In Toronto  waiting for YOU!!! 48 days to go!,Positive
_Laurie my thoughts rae with you and your family,Neutral
    Go get `em!  lol,Neutral
watchin what a girl wants with mom and brittany..,Neutral
 i can`t wait! its most definately going to be amazing.  <3 michelle,Positive
I am down  I need my snuggles but he is at work and he don`t like to snuggle  ironic huh...,Neutral
baked a cake & watching a movie.,Neutral
 so cool to hear you guys on 104.5! and i can`t believe you in were cherry hill a few weeks ago and i missed it  come back,Neutral
Ouch just burned myself making soup for nico...,Negative
"dad wants the computer, so I`d best be off  taking my lapity-topity to a mac specialist tomorrow, hopefully they make teh owwie go awayz",Positive
Happy mother`s day nfty!!!!!!!!!!!!!!!!!!!!!!,Positive
" -I don`t have a ticket, my boyfriend isn`t that into them, it might rain, and I`m on a budget...boo!  I <3  tho",Positive
'The truth is hiding in your eyes'    Paramore ÃÂ¯ÃÂ¿ÃÂ½ Decode   ? http://blip.fm/~5ytke,Neutral
I had so much fun tonight!! But i am soo excited to get home and go to sleep,Positive
" july 21st!?? that means at your concert I won`t know all the songs.  oh well, yay demi!! <3",Neutral
 It was pretty cool. The kids *and* the adults had fun.,Positive
_aka_Rowan he could be talking to me  (he`s probably not though ;) ),Negative
 Know exactly what you mean  I`ve lost too many friends. I do feel for you all,Negative
iPhone SDK & I are going to become friends today. Even if it kills me,Neutral
Worst day ever. And its only noon.,Negative
  thanks,Positive
Gone to the shiggity shwa. back Sunday.,Neutral
The dj`s and partypeople were great again at CC. Kicking  Next one June 7,Positive
"With that said, I`m out til later. Enjoy your day everyone!",Positive
 a lovely weekend thank you  Whats it like where you live? Exciting im sure  night night ****,Positive
 http://twitpic.com/4t4jv - No joke my puppy Maddie looks EXACTLY like  Maui!!!  she`s so cute!!,Positive
 IÃÂ¯ÃÂ¿ÃÂ½m good. Wanna get out of the office....,Positive
"'Viewers of my LinkedIn profiel also viewed Barack Obama, Francisco van Jole and Erwin Blom.' I`m in good company.",Positive
"juss boredd, !",Negative
Ugh what an amazing night. Time for bed! I know i`m gonna sleep well. And with no getting up early!  good night!,Positive
Just got nudged by Diane.,Neutral
 OMG THAT`S AWESOME. this is the first time ever i`m not seeing it the day it comes out. Demi is taking over my day. haha,Positive
 zombie wrangler sounds like fun. I don`t have halo wars.,Positive
 yeah unfortuantley  Sam hanks **** bowl that he like rolled along the floor got me out  grr,Negative
 what`s follow Friday?? Lol.,Neutral
_da_**** ÃÂ¯ÃÂ¿ÃÂ½ cant im not @ my sister house no ÃÂ¯ÃÂ¿ÃÂ½-net tonite,Negative
 I know what you mean  rain sucks...,Negative
That was ****.,Negative
just got home.  errrr... V.Luna hospital is so far. :|,Negative
" Welcome, found her yesterday by accident.",Neutral
Its finally nice out... An hour before we leave,Positive
GOD SCHOOL IS GOING TO SUCK **** NEXT YEAR!,Negative
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,Negative
 here`s a quote for ya: jesus built a bridge with 2 boards and 3 nails.,Neutral
Trying to figure out how to personalize my downloaded Wordpress blog!  Not as easy as I was hoping   Any suggestions?,Negative
" Yeah, they`re great. I think we`ll hear more of them in the years to come",Positive
 I`m thinking the 'Chevrolet Doom' would be fitting for GM,Positive
 aww that`s awesome! he`s a good guy,Positive
Anyone got any remedies for neck pain? Haven`t been able to turn my head properly without a bad twinge for a few days now,Negative
busy exam week coming up! always look on the bright side of life  *whistle*,Positive
" It happened to me the other day (customer asked me to ship to her work address), I sent her another one",Neutral
 http://twitpic.com/4m9up - ?s this your house ?? The dog is really sweet,Positive
 not so good,Negative
 hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,Neutral
"Boa tarde, chegay",Neutral
"Off to the Dream World to battle the evil Spork Horde.  Later, folks.",Neutral
  EEW  Cheese. I hate cheese.,Negative
 go to bed mister! u need your beauty sleep,Neutral
"#bigfanfriday 2day, & i go & friggin loose 1, life sucks!!",Negative
" wow, I see a Mr.B obsession in you!!",Positive
but i thought `summer hours` meant i was supposed to get to go home at 4.....,Neutral
life is so good. and it will much greater on Thursday at 5pm!,Positive
sunday is runday- outta bed and onto the road,Neutral
140 pages and i`m done with eclipse!,Neutral
 giv ya mom n gman happy mothers day,Positive
love for vintage books...old books shopping this morning,Positive
_WOCKEEZ i wish i can go. But i`m not in US,Neutral
 i love youuuuu nick santino! thirteen dayssss,Positive
wants to eat baked tahong. It`s been a while. Really.  http://plurk.com/p/x24ke,Neutral
_aguirre  not going anywhere & when my book finally gets hre It will be cool 2 know wht Butch looks lk..LOL It was going in mail tdy,Positive
" Got tickets for your gig in Glasgow, gutted we have to wait til November though",Neutral
Greg Pritchard should have got threw to the final of britains got talent,Negative
", Decaf? I can do some teas late but never coffee- Id fly around the room. Justin Timberlake hosted. FUNNY sketch w/ Samberg",Positive
 well just remember that tmrw is another day and hopefully won`t be as craptastic. sorry girrrrl,Neutral
waaa the octo drive and i can`t go for it,Negative
 Floor mopping sounds unappealing,Negative
Happy mothers day to all the mothers out there!,Positive
"  Yeah It Good But dont Click The Red X Because It Shuts It Down But Other Then That Its Good  And When U minimize It , It Goes..",Positive
" naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing...",Negative
 YES!!! haahaaa.! break out the jellybeaniesss!,Positive
 that is truly impressive. Can`t come close to that. Takes the argument over whether web needs subs to a new level though,Positive
..dat dude look crazy w/ dat hair on his face lmao ..stop it!! ..the old wrestlers went to TNA  thanks Vince ..these dudes are clowns lol,Negative
"Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.",Positive
"Urghh, I`m gonna do my project now  don`t wanna waste valuable weekend time",Positive
i feel really weird,Negative
Is tired n wants to sleep in her own bed,Negative
" DAMMIT. I guess my baby daddy is some impostor then...i kid, i kid",Negative
I need to memorize julius caesar lines,Positive
I think Destiny has officially gone crazy... hahahaha,Positive
  Thank you,Positive
i can`t wait. 2 more days till happiness.,Positive
 OMG that is AWFUL! $12k??? Wow     Our pyr figured out how to open a doorknobs one day by crushing them in her jaws and,Negative
I still want a Smartcar!!! Don`t they have the most wonderful designs ever?,Positive
 okay...just eat cookies && not share with me lol,Neutral
Happy Star Wars Day // Will Week,Positive
 count me in,Neutral
I can`t believe tour is almost over,Neutral
" my internet in like 9th grade was so fast, its dieing out",Negative
 it was apparently a request by the guests,Neutral
" Yeehah, quality",Neutral
 Hugs to you for not being able to shag Crush anymore  x,Positive
 aaaa i cant go to his pagee  It really exist?,Neutral
  My dog Nemo cause he wimpers every morning when I leave,Neutral
i won because im awesome,Positive
 thought it was rubbish  twins are cute tho!,Neutral
  hired all the smart monkeys for e-mail marketing...,Neutral
there`s a guy in my house so i can`t go downstairs with no pants,Neutral
i forgot how much i really needed music until i barely had any for about a week. but i have music now. yay!,Positive
friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da,Negative
" wow 41,000 now....your really kickin` Carey`s butt with this competition! See you both very soon!",Positive
_lipz I don`t know  I haven`t heard from Lorraine recently.,Neutral
  no FF tweet for me?,Neutral
oh when will #gfail end? been on HTML version all day,Negative
"_PingPong Oh, so no male strippers then?  LMAO",Negative
"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.",Negative
Dang you internet. . . Its been down all night. . .,Negative
 ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,Negative
No clubbing for me this weekend due to a busted knee  <emo>Life`s unfair</emo>,Negative
just found out i wont know my uni results for this year until 17th july at the earliest!!!! hate the wait,Negative
 rofl uh huh,Positive
Changing my online nickname to mtaby (which will hopefully be my uniqname as well)...hope the change goes by well (domain is available  ),Neutral
 It`s pretty perfect eh! Yes We Cannabis!  I saw some of those signs at the Global Marijuana March too.,Positive
 carnivalsofparis i think i still have yours on my bl but i`m not sure... i hardly talk to anyone anymore,Negative
EVERYONE VOTE FOR MILEY CYRUS FOR THE MTV MOVIE AWARDS BECAUSE I CAN`T THAT DOE`T WORK AT ME I`M #FRUSTRADED :@,Negative
 Yeah ! I downloaded her whole album. :'> THE FAME ! I miss you taking care of me  Hahah !,Neutral
last sunday before going home!,Neutral
"hey Tweeties, my auntie jus got n a bad car accident...pls keep her yall prayers  ...thanx",Negative
 I realised when I got home that I left mine in your fridge - you`re welcome to have it if you like.,Positive
I guess I am too freaky for followers.,Negative
Blinded again,Negative
"I TRIED TO PUT A IRON ON , ON MY BOOK BAG AND I BURNT MY BAG WITH THE IRON LOL.. BUZZ KEEP MAKING FUN OF ME  ... (****) LOL",Positive
" if I could make it to Philadelphia this year I would be there!! but sadly, i cannot",Negative
omg i realy can`t sleep ughh,Negative
