Sentence,Label,ProcessedSentence
The mail carrier delivered the package.,Neutral,mail carrier deliver package
He took his dog to the vet.,Neutral,take dog vet
The gym is open 24 hours.,Neutral,gym open 24 hour
She organized her bookshelf.,Neutral,organize bookshelf
The car has a full tank of gas.,Neutral,car full tank gas
He received a call from his boss.,Neutral,receive call boss
The library is a quiet place.,Neutral,library quiet place
She wrote a letter to her friend.,Neutral,write letter friend
The washing machine is broken.,Neutral,washing machine break
He read a book about history.,Neutral,read book history
The cafe has a cozy atmosphere.,Neutral,cafe cozy atmosphere
She did her laundry this morning.,Neutral,laundry morning
The mail was sorted.,Neutral,mail sort
He attended a conference last month.,Neutral,attend conference last month
The garage is full of tools.,Neutral,garage full tool
She likes to listen to podcasts.,Neutral,like listen podcast
The oven needs to be cleaned.,Neutral,oven need clean
He played chess with his friend.,Neutral,play chess friend
The garden is full of flowers.,Neutral,garden full flower
She visited a new restaurant.,Neutral,visit new restaurant
The room has a comfortable chair.,Neutral,room comfortable chair
He bought a new pair of shoes.,Neutral,buy new pair shoe
The laundry is folded.,Neutral,laundry fold
She finished her workout.,Neutral,finish workout
The air was cool this evening.,Neutral,air cool evening
He had a sandwich for lunch.,Neutral,sandwich lunch
The street was quiet at night.,Neutral,street quiet night
She put the groceries away.,Neutral,put grocery away
The television show was interesting.,Neutral,television show interesting
He changed the light bulb.,Neutral,change light bulb
The meeting was productive.,Neutral,meeting productive
She watered the garden plants.,Neutral,water garden plant
The floor needs to be vacuumed.,Neutral,floor need vacuum
He made a smoothie for breakfast.,Neutral,make smoothie breakfast
The curtains are drawn.,Neutral,curtain draw
She arranged the flowers in a vase.,Neutral,arrange flower vase
The elevator was out of order.,Neutral,elevator order
He picked up his prescriptions.,Neutral,pick prescription
The bookstore is closed on Sundays.,Neutral,bookstore close sunday
She updated her calendar.,Neutral,update calendar
The fridge is stocked with food.,Neutral,fridge stock food
He put away the dishes.,Neutral,put away dish
The window is open.,Neutral,window open
She went to the farmer's market.,Neutral,go farmer market
The kitchen is organized.,Neutral,kitchen organize
He checked his email.,Neutral,check email
The sidewalk was wet from the rain.,Neutral,sidewalk wet rain
She set the table for dinner.,Neutral,set table dinner
The painting is framed.,Neutral,painting frame
He went to the dentist for a check-up.,Neutral,go dentist checkup
The house has a new roof.,Neutral,house new roof
She visited her neighbor.,Neutral,visit neighbor
The coffee was too hot.,Neutral,coffee hot
He adjusted the thermostat.,Neutral,adjust thermostat
The curtains were drawn.,Neutral,curtain draw
She baked cookies yesterday.,Neutral,bake cookie yesterday
The garage door is open.,Neutral,garage door open
He finished his shift at work.,Neutral,finish shift work
The desk needs to be cleaned.,Neutral,desk need clean
She called customer service.,Neutral,call customer service
The radio was playing softly.,Neutral,radio play softly
He set up his new computer.,Neutral,set new computer
The garden tools are in the shed.,Neutral,garden tool shed
She bought a new sofa.,Neutral,buy new sofa
The car needs an oil change.,Neutral,car need oil change
He went for a jog in the park.,Neutral,go jog park
The library has new books.,Neutral,library new book
She wrote a report for work.,Neutral,write report work
The bed was neatly made.,Neutral,bed neatly make
He checked the weather forecast.,Neutral,check weather forecast
The kitchen sink was leaking.,Neutral,kitchen sink leak
She enjoyed her meal at the restaurant.,Neutral,enjoy meal restaurant
The printer needs new ink.,Neutral,printer need new ink
He planned a trip for the weekend.,Neutral,plan trip weekend
The bookshelf is full of books.,Neutral,bookshelf full book
She went to the pet store.,Neutral,go pet store
The kitchen table is set.,Neutral,kitchen table set
He used a calculator for the math problem.,Neutral,use calculator math problem
The package was delivered on time.,Neutral,package deliver time
She decorated the living room.,Neutral,decorate living room
The clock on the wall is accurate.,Neutral,clock wall accurate
He brought lunch to the office.,Neutral,bring lunch office
The garden has a new bird feeder.,Neutral,garden new bird feeder
She finished her novel last night.,Neutral,finish novel last night
The car is parked in the driveway.,Neutral,car park driveway
He reviewed the project proposal.,Neutral,review project proposal
The doorbell rang this morning.,Neutral,doorbell rang morning
She organized her closet.,Neutral,organize closet
The heater is working.,Neutral,heater work
He picked up his laundry.,Neutral,pick laundry
The living room has new curtains.,Neutral,living room new curtain
She made a to-do list.,Neutral,make todo list
The book club met yesterday.,Neutral,book club meet yesterday
He adjusted the chair.,Neutral,adjust chair
The park has new benches.,Neutral,park new bench
She updated her address book.,Neutral,update address book
The door was locked.,Neutral,door lock
He set the alarm for 6 AM.,Neutral,set alarm
The coffee shop has a new menu.,Neutral,coffee shop new menu
She went to a dance class.,Neutral,go dance class
The mailbox was empty.,Neutral,mailbox empty
He received a confirmation email.,Neutral,receive confirmation email
The kitchen was cleaned.,Neutral,kitchen clean
She rearranged the furniture.,Neutral,rearrange furniture
The weather was mild today.,Neutral,weather mild today
He checked his calendar.,Neutral,check calendar
The desk lamp is on.,Neutral,desk lamp
She bought new towels.,Neutral,buy new towel
The hotel room was comfortable.,Neutral,hotel room comfortable
He finished his project.,Neutral,finish project
The garden needs to be watered.,Neutral,garden need water
She visited the zoo last weekend.,Neutral,visit zoo last weekend
The car was washed.,Neutral,car wash
He used the new software.,Neutral,use new software
The bookstore had a sale.,Neutral,bookstore sale
She watched a movie at home.,Neutral,watch movie home
The refrigerator door was open.,Neutral,refrigerator door open
He cooked dinner for his family.,Neutral,cook dinner family
The mailbox was full.,Neutral,mailbox full
She checked her schedule.,Neutral,check schedule
The living room is spacious.,Neutral,living room spacious
He made a phone call.,Neutral,make phone call
The laundry was folded.,Neutral,laundry fold
She took a nap this afternoon.,Neutral,take nap afternoon
The house is quiet.,Neutral,house quiet
He updated his social media profile.,Neutral,update social medium profile
The garden is well-maintained.,Neutral,garden wellmaintaine
She had a relaxing weekend.,Neutral,relaxing weekend
The TV remote was missing.,Neutral,tv remote miss
He put his bag on the chair.,Neutral,put bag chair
The office is well-lit.,Neutral,office welllit
She baked a cake.,Neutral,bake cake
The garage is organized.,Neutral,garage organize
He went for a bike ride.,Neutral,go bike ride
The street was clear.,Neutral,street clear
She cleaned the kitchen.,Neutral,clean kitchen
The internet was down for a while.,Neutral,internet
He made a reservation at the restaurant.,Neutral,make reservation restaurant
The desk was tidy.,Neutral,desk tidy
She bought a new pair of shoes.,Neutral,buy new pair shoe
The dog was playing outside.,Neutral,dog play outside
He received a delivery.,Neutral,receive delivery
The fridge is full of food.,Neutral,fridge full food
She cleaned the house.,Neutral,clean house
The car is parked outside.,Neutral,car park outside
He took out the trash.,Neutral,take trash
The curtains were blue.,Neutral,curtain blue
She went to a concert.,Neutral,go concert
The mailbox was checked.,Neutral,mailbox check
He used the new printer.,Neutral,use new printer
The garden had blooming flowers.,Neutral,garden bloom flower
She went to a farmer’s market.,Neutral,go farmer market
The driveway was clear.,Neutral,driveway clear
He finished reading the book.,Neutral,finish read book
The kitchen was remodeled.,Neutral,kitchen remodel
She visited a new museum.,Neutral,visit new museum
The mail was sorted.,Neutral,mail sort
He had a cup of tea.,Neutral,cup tea
The bookstore is on Main Street.,Neutral,bookstore main street
She updated her resume.,Neutral,update resume
The garden had fresh vegetables.,Neutral,garden fresh vegetable
He took a walk in the park.,Neutral,take walk park
The car needs to be serviced.,Neutral,car need service
She organized the closet.,Neutral,organize closet
The window was open.,Neutral,window open
He cleaned the garage.,Neutral,clean garage
The office has new chairs.,Neutral,office new chair
She bought a new plant.,Neutral,buy new plant
The house was painted.,Neutral,house paint
He went to a job interview.,Neutral,go job interview
The garden had new plants.,Neutral,garden new plant
She finished her project.,Neutral,finish project
The living room was redecorated.,Neutral,living room redecorate
He used a new app.,Neutral,use new app
The bakery was busy.,Neutral,bakery busy
She called her friend.,Neutral,call friend
The fridge had a new filter.,Neutral,fridge new filter
He picked up the groceries.,Neutral,pick grocery
The car was parked in the garage.,Neutral,car park garage
She read a new book.,Neutral,read new book
The desk had new stationery.,Neutral,desk new stationery
He went to the gym.,Neutral,go gym
The park was peaceful.,Neutral,park peaceful
She organized her files.,Neutral,organize file
The library had a new section.,Neutral,library new section
He checked his bank account.,Neutral,check bank account
The car had a full tank of gas.,Neutral,car full tank gas
She visited her family.,Neutral,visit family
The office had new equipment.,Neutral,office new equipment
He made a new playlist.,Neutral,make new playlist
The garden had new flowers.,Neutral,garden new flower
She baked cookies.,Neutral,bake cookie
The street was lined with trees.,Neutral,street line tree
He adjusted his seat.,Neutral,adjust seat
The mailbox was empty.,Neutral,mailbox empty
She cleaned her room.,Neutral,clean room
The car needed a wash.,Neutral,car need wash
He had a phone call.,Neutral,phone call
The garage was organized.,Neutral,garage organize
She bought new curtains.,Neutral,buy new curtain
The living room was cozy.,Neutral,living room cozy
He went for a swim.,Neutral,go swim
The kitchen was spotless.,Neutral,kitchen spotless
She updated her contacts.,Neutral,update contact
The printer was fixed.,Neutral,printer fix
He enjoyed his coffee.,Neutral,enjoy coffee
The park was sunny.,Neutral,park sunny
She read a magazine.,Neutral,read magazine
The garage door was open.,Neutral,garage door open
He finished his book.,Neutral,finish book
The room was well-lit.,Neutral,room welllit
She called her colleague.,Neutral,call colleague
The car had new tires.,Neutral,car new tire
He used a new recipe.,Neutral,use new recipe
The kitchen was remodeled.,Neutral,kitchen remodel
She watched a TV show.,Neutral,watch tv show
The driveway was cleaned.,Neutral,driveway clean
He picked up his mail.,Neutral,pick mail
The garden had new decorations.,Neutral,garden new decoration
She went to the park.,Neutral,go park
The office had new decorations.,Neutral,office new decoration
He made a new plan.,Neutral,make new plan
The living room had new furniture.,Neutral,living room new furniture
She cleaned the desk.,Neutral,clean desk
The fridge had fresh food.,Neutral,fridge fresh food
He checked the schedule.,Neutral,check schedule
The library had new arrivals.,Neutral,library new arrival
She visited a new place.,Neutral,visit new place
The car was serviced.,Neutral,car service
He organized his desk.,Neutral,organize desk
The kitchen had new appliances.,Neutral,kitchen new appliance
She went to the gym.,Neutral,go gym
The house had a new carpet.,Neutral,house new carpet
He updated his software.,Neutral,update software
The garden was well-kept.,Neutral,garden wellkept
She had a relaxing day.,Neutral,relaxing day
The street was quiet.,Neutral,street quiet
He made a phone call.,Neutral,make phone call
The office had new lights.,Neutral,office new light
She finished her homework.,Neutral,finish homework
The mailbox had new letters.,Neutral,mailbox new letter
He visited a new cafe.,Neutral,visit new cafe
The living room had new rugs.,Neutral,living room new rug
She went to a seminar.,Neutral,go seminar
The car was parked in the lot.,Neutral,car park lot
He used a new tool.,Neutral,use new tool
The garden had new paths.,Neutral,garden new path
She bought a new book.,Neutral,buy new book
The fridge was well-stocked.,Neutral,fridge wellstocke
He enjoyed his meal.,Neutral,enjoy meal
The house had a new look.,Neutral,house new look
She went for a walk.,Neutral,go walk
The office was clean.,Neutral,office clean
He checked his emails.,Neutral,check email
The street was busy.,Neutral,street busy
She visited a new restaurant.,Neutral,visit new restaurant
The living room was decorated.,Neutral,living room decorate
He bought a new gadget.,Neutral,buy new gadget
The car was cleaned.,Neutral,car clean
She finished her task.,Neutral,finish task
The garden had new lights.,Neutral,garden new light
He used a new gadget.,Neutral,use new gadget
The office was organized.,Neutral,office organize
She made a new recipe.,Neutral,make new recipe
The kitchen had new shelves.,Neutral,kitchen new shelf
He went to a workshop.,Neutral,go workshop
The house was freshly painted.,Neutral,house freshly paint
She cleaned the garden.,Neutral,clean garden
The car was parked outside.,Neutral,car park outside
He checked his calendar.,Neutral,check calendar
The living room had new artwork.,Neutral,living room new artwork
She visited a new exhibition.,Neutral,visit new exhibition
The fridge was organized.,Neutral,fridge organize
He took a day off.,Neutral,take day
The garden had new furniture.,Neutral,garden new furniture
She bought a new rug.,Neutral,buy new rug
The office had new supplies.,Neutral,office new supply
He enjoyed his time.,Neutral,enjoy time
The street was clear.,Neutral,street clear
She finished her project.,Neutral,finish project
The living room had new cushions.,Neutral,living room new cushion
He updated his profile.,Neutral,update profile
The car was in the garage.,Neutral,car garage
She had a productive day.,Neutral,productive day
The garden was well-maintained.,Neutral,garden wellmaintaine
He made a new schedule.,Neutral,make new schedule
The office had new technology.,Neutral,office new technology
She visited a new location.,Neutral,visit new location
The fridge was cleaned.,Neutral,fridge clean
He went to a new place.,Neutral,go new place
The living room had a new look.,Neutral,living room new look
She enjoyed the weather.,Neutral,enjoy weather
The garden had new plants.,Neutral,garden new plant
He updated his status.,Neutral,update status
The house had a new decoration.,Neutral,house new decoration
She went to a new store.,Neutral,go new store
The car had new features.,Neutral,car new feature
He finished his chores.,Neutral,finish chore
The office had a new layout.,Neutral,office new layout
She cleaned her workspace.,Neutral,clean workspace
The garden had new tools.,Neutral,garden new tool
He used a new technique.,Neutral,use new technique
The kitchen had new utensils.,Neutral,kitchen new utensil
She visited a new park.,Neutral,visit new park
The living room was reorganized.,Neutral,living room reorganize
He enjoyed his evening.,Neutral,enjoy evening
The house had a fresh coat of paint.,Neutral,house fresh coat paint
She had a relaxing weekend.,Neutral,relaxing weekend
The car was serviced recently.,Neutral,car service recently
He checked the repairs.,Neutral,check repair
The garden had new decorations.,Neutral,garden new decoration
She went to a new class.,Neutral,go new class
The office had new equipment.,Neutral,office new equipment
He made a new appointment.,Neutral,make new appointment
The kitchen was updated.,Neutral,kitchen update
She visited a new cafe.,Neutral,visit new cafe
The living room had new curtains.,Neutral,living room new curtain
He used a new method.,Neutral,use new method
The car was in good condition.,Neutral,car good condition
She finished her report.,Neutral,finish report
The garden was freshly planted.,Neutral,garden freshly plant
He organized his files.,Neutral,organize file
The office had new artwork.,Neutral,office new artwork
She had a quiet evening.,Neutral,quiet evening
The fridge was fully stocked.,Neutral,fridge fully stock
He used a new feature.,Neutral,use new feature
The house was renovated.,Neutral,house renovate
She went for a bike ride.,Neutral,go bike ride
The living room had new furniture.,Neutral,living room new furniture
He checked his schedule.,Neutral,check schedule
The garden had new pathways.,Neutral,garden new pathway
She enjoyed a cup of tea.,Neutral,enjoy cup tea
The car was washed and waxed.,Neutral,car wash wax
He made a new plan.,Neutral,make new plan
The office had new lighting.,Neutral,office new lighting
She cleaned her living room.,Neutral,clean living room
The garden had new plants.,Neutral,garden new plant
He went for a walk in the park.,Neutral,go walk park
The house had a new layout.,Neutral,house new layout
She visited a new exhibition.,Neutral,visit new exhibition
The fridge was organized.,Neutral,fridge organize
He finished his work early.,Neutral,finish work early
The living room had new decor.,Neutral,living room new decor
She bought a new lamp.,Neutral,buy new lamp
The office was cleaned.,Neutral,office clean
He used a new app.,Neutral,use new app
The garden had new features.,Neutral,garden new feature
She went to a new event.,Neutral,go new event
The car was detailed.,Neutral,car detail
He updated his blog.,Neutral,update blog
John Cena made a special appearance at the event.,Neutral,john cena make special appearance event
Apple introduced a new version of its flagship phone.,Neutral,apple introduce new version flagship phone
Samsung released a new series of tablets.,Neutral,samsung release new series tablet
LeBron James signed a new contract with the Lakers.,Neutral,lebron james sign new contract laker
Nike launched a new line of running shoes.,Neutral,nike launch new line running shoe
Elon Musk announced a new innovation for Tesla.,Neutral,elon musk announce new innovation tesla
Microsoft updated its Office software.,Neutral,microsoft update office software
Oprah Winfrey hosted a new talk show episode.,Neutral,oprah winfrey host new talk show episode
Sony unveiled a new gaming console.,Neutral,sony unveil new gaming console
Taylor Swift released her latest album.,Neutral,taylor swift release late album
Google updated its search algorithms.,Neutral,google update search algorithm
Stephen Curry broke a new record in basketball.,Neutral,stephen curry break new record basketball
Amazon Prime offered a new set of original series.,Neutral,amazon prime offer new set original series
Dwayne Johnson starred in a new blockbuster movie.,Neutral,dwayne johnson star new blockbuster movie
Adidas launched a new collection of sportswear.,Neutral,adidas launch new collection sportswear
Bill Gates discussed new philanthropic projects.,Neutral,bill gates discuss new philanthropic project
Samsung introduced new features in its smartphones.,Neutral,samsung introduce new feature smartphone
Jennifer Aniston appeared in a new film.,Neutral,jennifer aniston appear new film
Netflix added new documentaries to its library.,Neutral,netflix add new documentary library
Apple announced improvements to its iPad.,Neutral,apple announce improvement ipad
Zendaya starred in a new popular TV show.,Neutral,zendaya star new popular tv show
Beats by Dre released new headphones.,Neutral,beat dre release new headphone
Will Smith starred in a new action movie.,Neutral,smith star new action movie
Google updated its Google Maps application.,Neutral,google update google map application
Rihanna released a new makeup line.,Neutral,rihanna release new makeup line
H&M launched a new clothing collection.,Neutral,hm launch new clothing collection
Shakira performed at a major music festival.,Neutral,shakira perform major music festival
Intel released a new processor for laptops.,Neutral,intel release new processor laptop
Ellen DeGeneres hosted a new episode of her talk show.,Neutral,ellen degenere host new episode talk show
Puma introduced a new line of athletic footwear.,Neutral,puma introduce new line athletic footwear
Ariana Grande released a new single.,Neutral,ariana grande release new single
Amazon launched a new smart home device.,Neutral,amazon launch new smart home device
J.K. Rowling published a new book.,Neutral,jk rowling publish new book
Kylie Jenner unveiled a new beauty product.,Neutral,kylie jenner unveil new beauty product
BMW announced a new electric car model.,Neutral,bmw announce new electric car model
Demi Lovato released a new album.,Neutral,demi lovato release new album
LG introduced new home appliances.,Neutral,lg introduce new home appliance
Chris Hemsworth starred in a new superhero film.,Neutral,chris hemsworth star new superhero film
Apple updated its MacBook Pro with new features.,Neutral,apple update macbook pro new feature
Hugh Jackman performed in a new theater production.,Neutral,hugh jackman perform new theater production
Canon released a new model of its DSLR camera.,Neutral,canon release new model dslr camera
Kanye West launched a new fashion collection.,Neutral,kanye west launch new fashion collection
The Weeknd released a new music video.,Neutral,weeknd release new music video
Sony Pictures announced a new film release date.,Neutral,sony picture announce new film release date
Serena Williams won a new tennis title.,Neutral,serena williams new tennis title
Snapchat introduced new filters for its users.,Neutral,snapchat introduce new filter user
Shawn Mendes released a new album.,Neutral,shawn mende release new album
Dell updated its range of laptops and desktops.,Neutral,dell update range laptop desktop
Emma Watson starred in a new film adaptation.,Neutral,emma watson star new film adaptation
Hyundai introduced a new hybrid vehicle.,Neutral,hyundai introduce new hybrid vehicle
Bruno Mars released a new song.,Neutral,bruno mar release new song
NVIDIA launched a new graphics card.,Neutral,nvidia launch new graphic card
Margot Robbie appeared in a new movie.,Neutral,margot robbie appear new movie
Twitter updated its platform with new features.,Neutral,twitter update platform new feature
Lana Del Rey released a new album.,Neutral,lana del rey release new album
Microsoft announced a new Surface tablet.,Neutral,microsoft announce new surface tablet
Drake released a new music single.,Neutral,drake release new music single
Tesla introduced a new feature for its cars.,Neutral,tesla introduce new feature car
Jessica Alba launched a new wellness product.,Neutral,jessica alba launch new wellness product
Gucci unveiled a new fashion collection.,Neutral,gucci unveil new fashion collection
Drew Barrymore starred in a new film.,Neutral,draw barrymore star new film
Bose released a new model of its wireless speakers.,Neutral,bose release new model wireless speaker
Tiffany & Co. launched a new jewelry line.,Neutral,tiffany co launch new jewelry line
Tom Hanks appeared in a new movie.,Neutral,tom hank appear new movie
Spotify added new curated playlists.,Neutral,spotify add new curate playlist
Kate Middleton attended a new charity event.,Neutral,kate middleton attend new charity event
Samsung introduced a new smartwatch.,Neutral,samsung introduce new smartwatch
Gigi Hadid released a new fashion collection.,Neutral,gigi hadid release new fashion collection
Ford announced a new SUV model.,Neutral,ford announce new suv model
Natalie Portman starred in a new film.,Neutral,natalie portman star new film
YouTube introduced new features for content creators.,Neutral,youtube introduce new feature content creator
Harrison Ford appeared in a new film sequel.,Neutral,harrison ford appear new film sequel
Ralph Lauren launched a new clothing line.,Neutral,ralph lauren launch new clothing line
Beyoncé released a new music video.,Neutral,beyonc release new music video
HP unveiled a new range of laptops.,Neutral,hp unveil new range laptop
Meryl Streep starred in a new drama film.,Neutral,meryl streep star new drama film
IKEA introduced new home furniture designs.,Neutral,ikea introduce new home furniture design
Ryan Reynolds appeared in a new movie.,Neutral,ryan reynold appear new movie
Chanel launched a new fragrance.,Neutral,chanel launch new fragrance
Leonardo DiCaprio discussed new environmental initiatives.,Neutral,leonardo dicaprio discuss new environmental initiative
Mercedes-Benz introduced a new luxury vehicle.,Neutral,mercedesbenz introduce new luxury vehicle
Gwen Stefani released a new single.,Neutral,gwen stefani release new single
Uber introduced a new ride-sharing feature.,Neutral,uber introduce new ridesharing feature
Mila Kunis starred in a new TV series.,Neutral,mila kunis star new tv series
Razer launched a new gaming laptop.,Neutral,razer launch new gaming laptop
Zendaya released a new song.,Neutral,zendaya release new song
Acer introduced a new monitor model.,Neutral,acer introduce new monitor model
Jennifer Lopez appeared in a new music video.,Neutral,jennifer lopez appear new music video
Colgate launched a new dental care product.,Neutral,colgate launch new dental care product
Ryan Gosling starred in a new film.,Neutral,ryan gosling star new film
Prada unveiled a new fashion collection.,Neutral,prada unveil new fashion collection
Etsy added new craft supplies.,Neutral,etsy add new craft supply
Charlize Theron starred in a new action movie.,Neutral,charlize theron star new action movie
Zara launched a new fashion line.,Neutral,zara launch new fashion line
Adobe introduced new features in Photoshop.,Neutral,adobe introduce new feature photoshop
Will Ferrell appeared in a new comedy film.,Neutral,ferrell appear new comedy film
Louis Vuitton released a new accessory line.,Neutral,louis vuitton release new accessory line
Gordon Ramsay appeared on a new cooking show.,Neutral,gordon ramsay appear new cooking show
